"B [mm]","L [mm]","R1 [mm]","R2 [mm]","Freq [GHz]","dB(S(1,1)) []"
16,15.5,5.6,6.2,5.5,-1.90278891179864
16,15.5,5.6,6.2,5.52,-2.06658709671172
16,15.5,5.6,6.2,5.54,-2.256085383386
16,15.5,5.6,6.2,5.56,-2.47633278759974
16,15.5,5.6,6.2,5.58,-2.73361039061014
16,15.5,5.6,6.2,5.6,-3.03578437671663
16,15.5,5.6,6.2,5.62,-3.39277577113469
16,15.5,5.6,6.2,5.64,-3.81719299164262
16,15.5,5.6,6.2,5.66,-4.32519852236877
16,15.5,5.6,6.2,5.68,-4.93772757059651
16,15.5,5.6,6.2,5.7,-5.68226853662709
16,15.5,5.6,6.2,5.72,-6.59560556223758
16,15.5,5.6,6.2,5.74,-7.72832684416643
16,15.5,5.6,6.2,5.76,-9.1527460406263
16,15.5,5.6,6.2,5.78,-10.9774339319545
16,15.5,5.6,6.2,5.8,-13.3720511880063
16,15.5,5.6,6.2,5.82,-16.5748201954049
16,15.5,5.6,6.2,5.84,-20.4007326638957
16,15.5,5.6,6.2,5.86,-21.1455376132096
16,15.5,5.6,6.2,5.88,-17.6720838440659
16,15.5,5.6,6.2,5.9,-14.437171277122
16,15.5,5.6,6.2,5.92,-12.0344936684601
16,15.5,5.6,6.2,5.94,-10.2258395646945
16,15.5,5.6,6.2,5.96,-8.82266429638573
16,15.5,5.6,6.2,5.98,-7.70625242699053
16,15.5,5.6,6.2,6,-6.80040452853318
16,15.5,5.6,6.2,6.02,-6.05402017932725
16,15.5,5.6,6.2,6.04,-5.43140578967387
16,15.5,5.6,6.2,6.06,-4.90676649834386
16,15.5,5.6,6.2,6.08,-4.46093382972411
16,15.5,5.6,6.2,6.1,-4.07933363282684
16,15.5,5.6,6.2,6.12,-3.75067351893302
16,15.5,5.6,6.2,6.14,-3.46606546630808
16,15.5,5.6,6.2,6.16,-3.21842148972043
16,15.5,5.6,6.2,6.18,-3.00202629431762
16,15.5,5.6,6.2,6.2,-2.81222800119092
16,15.5,5.6,6.2,6.22,-2.64520972634941
16,15.5,5.6,6.2,6.24,-2.4978178575816
16,15.5,5.6,6.2,6.26,-2.36743095635562
16,15.5,5.6,6.2,6.28,-2.25185833815255
16,15.5,5.6,6.2,6.3,-2.14926071186693
16,15.5,5.6,6.2,6.32,-2.05808746672003
16,15.5,5.6,6.2,6.34,-1.97702669156852
16,15.5,5.6,6.2,6.36,-1.90496504653852
16,15.5,5.6,6.2,6.38,-1.84095533664745
16,15.5,5.6,6.2,6.4,-1.78419016075926
16,15.5,5.6,6.2,6.42,-1.73398039116753
16,15.5,5.6,6.2,6.44,-1.689737521766
16,15.5,5.6,6.2,6.46,-1.65095913468888
16,15.5,5.6,6.2,6.48,-1.617216896022
16,15.5,5.6,6.2,6.5,-1.58814661431074
16,15.5,5.6,6.5,5.5,-1.9204031644282
16,15.5,5.6,6.5,5.52,-2.08378330930382
16,15.5,5.6,6.5,5.54,-2.27247891248285
16,15.5,5.6,6.5,5.56,-2.49136796779193
16,15.5,5.6,6.5,5.58,-2.74649198401544
16,15.5,5.6,6.5,5.6,-3.04538034595796
